Time,Kn,Pc psi,Thrust n,Mass Flux,Mass Flow,Cf,Surface Area,Nozzle Erosion,Mass Flux Grain 1
1.39,130.794617978516,221.759963989258,161.671010487092,0.219558551907539,0.247216558300961,1.09261796452695,23.0815625222945,0,0.219558559089554
1.4,130.954773673199,222.138244628906,162.11426474871,0.218698039650917,0.247638264125242,1.09374791406481,23.1098254870652,0,0.218698034471324
1.41,131.11439718619,222.51545715332,162.556280301152,0.217842057347298,0.248058772788667,1.09487084745498,23.1379945367713,0,0.217842056695534
1.42,131.273487331,222.891586303711,162.997006238561,0.21699059009552,0.248478075696791,1.09598677126818,23.1660694620309,0,0.216990586758514
1.43,131.43204292345,223.266616821289,163.436476498176,0.216143593192101,0.248896164262438,1.09709569213276,23.1940500538699,0,0.216143586114551
1.44,131.590062781723,223.640563964844,163.874657142758,0.215301021933556,0.24931303949969,1.09819770651403,23.2219361037309,0,0.215301024954283
1.45,131.747545732465,224.013427734375,164.311565140926,0.214462876319885,0.249728697644677,1.09929286498779,23.2497274045499,0,0.214462869573613
1.46,131.904490607676,224.385177612305,164.747166555442,0.213629081845284,0.250143125352818,1.10038112840522,23.2774237502078,0,0.213629078407395
1.47,132.060896238704,224.755828857422,165.181495323545,0.212799623608589,0.250556323672118,1.10146259160799,23.3050249344707,0,0.21279962265772
1.48,132.216761465303,225.125366210938,165.614500539377,0.21197447180748,0.250968284075718,1.10253725971516,23.3325307525878,0,0.211974465637384
1.49,132.372085129611,225.493789672852,166.046216140177,0.211153581738472,0.251379002841315,1.10360518205986,23.3599410002289,0,0.211153575114293
1.5,132.526866079149,225.861099243164,166.476625157325,0.210336923599243,0.25178847625995,1.10466640745324,23.387255474014,0,0.210336919170202
1.51,132.681103166797,226.227294921875,166.905727590822,0.209524467587471,0.252196700636011,1.10572098419113,23.414473971509,0,0.209524466197021
1.52,132.834795250777,226.592346191406,167.333472534811,0.208716183900833,0.252603662693367,1.10676887260028,23.441596291222,0,0.20871617696615
1.53,132.98794118882,226.956268310547,167.759927863767,0.207912027835846,0.253009363548983,1.10781016439622,23.4686222315751,0,0.207912024584471
1.54,133.140539846958,227.319061279297,168.185025703214,0.207111984491348,0.253413799541933,1.1088449067782,23.4955515924545,0,0.207111978432218
1.55,133.292590096552,227.680709838867,168.608799990392,0.206316009163857,0.253816962227797,1.10987310313619,23.5223841746874,0,0.206316004284882
1.56,133.444090811415,228.041213989258,169.031216788062,0.205524072051048,0.254218847967089,1.11089480009384,23.5491197795335,0,0.205524072188173
1.57,133.595040870706,228.40055847168,169.452293064842,0.204736143350601,0.254619448336927,1.11191000074408,23.5757582091961,0,0.204736148616896
1.58,133.74543915608,228.758758544922,169.872028820733,0.203952208161354,0.255018764516444,1.11291879404615,23.6022992663188,0,0.203952208101095
1.59,133.895284557365,229.115798950195,170.290407087116,0.203172221779823,0.25541678810991,1.11392118239609,23.6287427549875,0,0.203172217718814
1.6,134.044575966873,229.471664428711,170.707393926753,0.202396139502525,0.255813510729793,1.11491716824826,23.6550884797265,0,0.202396144922655
1.61,134.19331227945,229.826370239258,171.123040245501,0.20162396132946,0.256208933590749,1.11590683912702,23.6813362455072,0,0.201623965084409
1.62,134.341492398063,230.179901123047,171.537295137504,0.200855642557144,0.25660304833259,1.11689019680689,23.7074858587343,0,0.200855646237157
1.63,134.489115228202,230.532257080078,171.950175571379,0.200091153383255,0.256995851400432,1.11786728536783,23.7335371262577,0,0.200091160510444
1.64,134.636179680668,230.883438110352,172.361681547128,0.199330478906631,0.257387339253124,1.11883814842885,23.7594898558644,0,0.199330480295253
1.65,134.782684671556,231.233413696289,172.771779127512,0.19857357442379,0.257777498769383,1.11980274516902,23.7853438562756,0,0.198573570850607
1.66,134.928629116807,231.582214355469,173.180502249769,0.197820410132408,0.258166336019014,1.12076120279289,23.8110989361857,0,0.197820412581274
1.67,135.074011943119,231.929809570313,173.587800008042,0.197070971131325,0.258553837908341,1.12171348008357,23.836754906187,0,0.197070971330972
1.68,135.218832077057,232.276214599609,173.99370633957,0.196325227618217,0.258940005737944,1.12265966122944,23.8623115768485,0,0.196325224288998
1.69,135.363088453174,232.62141418457,174.398204275733,0.195583134889603,0.259324831233574,1.12359974649487,23.887768760149,0,0.195583141561742
1.7,135.50678000862,232.965408325195,174.801293816532,0.19484469294548,0.259708310926656,1.12453377757082,23.9131262685251,0,0.194844697188553
1.71,135.649905685822,233.308181762695,175.202941024728,0.194109857082367,0.260090436565611,1.12546175446541,23.9383839153454,0,0.19410986186784
1.72,135.792464429851,233.649749755859,175.60317983756,0.193378612399101,0.260471209501612,1.12638375949677,23.9635415144444,0,0.193378613746828
1.73,135.934455193682,233.990097045898,176.001993286408,0.192650929093361,0.260850621510995,1.12729979205815,23.9885988810517,0,0.192650924030735
1.74,136.075876932919,234.329208374023,176.399347434035,0.191926762461662,0.261228664379038,1.12820985159906,24.0135558308608,0,0.191926764244434
1.75,136.216728605843,234.667098999023,176.795293186297,0.191206112504005,0.261605339493948,1.12911401916583,24.0384121800381,0,0.191206113240169
1.76,136.357009178599,235.00373840332,177.189745700101,0.190488934516907,0.261980633872179,1.13001225295142,24.0631677461368,0,0.19048893954315
1.77,136.496717617444,235.339157104492,177.58278981854,0.189775228500366,0.262354553722123,1.13090467382637,24.0878223467308,0,0.189775225953654
1.78,136.635852899025,235.67333984375,177.974374635758,0.1890649497509,0.262727090885346,1.13179128005232,24.1123758012267,0,0.189064944961979
1.79,136.774414002644,236.006256103516,178.364466214517,0.188358068466187,0.263098232415647,1.13267202963702,24.1368279295007,0,0.188358065927164
1.8,136.912399907806,236.337936401367,178.753132429292,0.187654569745064,0.263467984559005,1.13354704188549,24.1611785514636,0,0.18765457225817
1.81,137.049809604311,236.668365478516,179.140322374227,0.186954438686371,0.263836339194521,1.13441631454258,24.185427488844,0,0.186954437208144
1.82,137.186642084661,236.997528076172,179.526036049323,0.186257630586624,0.264203288210628,1.13527984540855,24.2095745638468,0,0.186257634323265
1.83,137.322896344107,237.325424194336,179.910239517341,0.185564145445824,0.264568828302146,1.13613767219903,24.233619599162,0,0.185564140803264
1.84,137.45857138315,237.652053833008,180.292983684137,0.184873938560486,0.264932956178202,1.13698983223873,24.2575624184063,0,0.184873934050755
1.85,137.593666207526,237.977416992188,180.674234612475,0.184186995029449,0.265295668562225,1.1378363624661,24.2814028461201,0,0.184186991669075
1.86,137.728179828187,238.301513671875,181.053992302354,0.183503285050392,0.26565696219195,1.13867729943793,24.3051407077643,0,0.183503291460123
1.87,137.86211126128,238.624313354492,181.432256753774,0.182822808623314,0.266016824225552,1.13951260047114,24.3287758297167,0,0.182822804828767
1.88,137.995459523338,238.945846557617,181.809027966735,0.182145521044731,0.266375261013979,1.14034238065977,24.352308038423,0,0.182145516654577
1.89,138.128223640929,239.266082763672,182.184255035381,0.181471392512321,0.266732259744154,1.14116659699734,24.3757371620999,0,0.181471398794145
1.9,138.260402641025,239.585021972656,182.557988865567,0.180800423026085,0.267087817202009,1.14198528517997,24.3990630290354,0,0.180800429946395
1.91,138.391995555828,239.902679443359,182.930212488677,0.18013259768486,0.267441934984901,1.14279851954653,24.4222854684405,0,0.180132592227354
1.92,138.523001425102,240.219024658203,183.30089196747,0.179467856884003,0.267794600318416,1.1436062569312,24.4454043108606,0,0.179467858215265
1.93,138.653419289095,240.534072875977,183.670061239186,0.178806215524673,0.268145814824322,1.14440857105033,24.4684193869263,0,0.178806210422192
1.94,138.783248195601,240.84782409668,184.037703335206,0.178147628903389,0.268495575346527,1.1452054961478,24.4913305286006,0,0.178147628280142
1.95,138.912487197583,241.160247802734,184.40380128691,0.177492082118988,0.268843869149565,1.14599698890211,24.5141375687575,0,0.177492085065693
1.96,139.041135348566,241.471374511719,184.768372062917,0.176839560270309,0.269190702691331,1.14678316046695,24.5368403403714,0,0.176839566988244
1.97,139.169191711864,241.781173706055,185.13138172599,0.176190048456192,0.269536063265486,1.14756396721946,24.5594386781435,0,0.176190047737281
1.98,139.296655351378,242.089645385742,185.492847244748,0.175543501973152,0.269879947765285,1.14833944260031,24.5819324168786,0,0.175543507564701
1.99,139.423525336209,242.396789550781,185.852751650572,0.17489992082119,0.270222353098663,1.14910961970439,24.6043213922993,0,0.174899926891676
2,139.54980074064,242.702606201172,186.211094943461,0.174259290099144,0.270563276188238,1.14987453128482,24.6266054410427,0,0.1742592863069
2.01,139.675480644124,243.007095336914,186.567894092035,0.173621565103531,0.270902713971311,1.15063420975692,24.648784400658,0,0.173621566564876
2.02,139.80056413126,243.310241699219,186.923115159055,0.172986745834351,0.271240658602932,1.15138864927485,24.670858109603,0,0.172986745524907
2.03,139.925050289588,243.612045288086,187.276758144523,0.172354802489281,0.271577107045503,1.15213788187166,24.6928264068543,0,0.17235480432508
2.04,140.048938211819,243.912490844727,187.628823048438,0.17172572016716,0.271912051479272,1.15288190150937,24.7146891323007,0,0.171725721233827
2.05,140.172226993645,244.211608886719,187.979309870799,0.171099483966827,0.272245498485845,1.15362081513568,24.7364461263574,0,0.171099483793084
2.06,140.294915740259,244.509353637695,188.328201642988,0.17047606408596,0.272577430685413,1.15435454085682,24.7580972311164,0,0.170476064558833
2.07,140.417003555498,244.805755615234,188.675515333625,0.169855445623398,0.272907854685021,1.15508318488056,24.7796422884299,0,0.169855451381043
2.08,140.538489552664,245.100799560547,189.021250942708,0.16923762857914,0.273236762724156,1.15580674024335,24.8010811418208,0,0.169237623208767
2.09,140.659372848032,245.394470214844,189.365374533,0.168622553348541,0.27356414705297,1.15652520002682,24.8224136353368,0,0.168622559212094
2.1,140.779652560902,245.686767578125,189.707869135883,0.168010234832764,0.273890004729323,1.15723859455102,24.8436396135588,0,0.168010241721825
2.11,140.899327815732,245.97770690918,190.048785657212,0.167400658130646,0.274214337622968,1.15794699093089,24.8647589219785,0,0.167400656144298
2.12,141.018397744203,246.267272949219,190.38810712837,0.166793778538704,0.274537138028805,1.15865038157825,24.8857714073621,0,0.166793782135063
2.13,141.136861481011,246.555450439453,190.72576567488,0.166189596056938,0.27485839825258,1.15934875894809,24.9066769170079,0,0.166189599562019
2.14,141.254718163917,246.842239379883,191.061829171219,0.165588095784187,0.275178115407942,1.1600421523844,24.9274752987548,0,0.165588091389221
2.15,141.37196693583,247.127655029297,191.396280648766,0.164989247918129,0.275496291420528,1.16073062769112,24.9481664013506,0,0.164989243594025
2.16,141.488606946821,247.411682128906,191.729086170285,0.164393037557602,0.275812918641113,1.16141417667327,24.9687500748067,0,0.164393036508723
2.17,141.604637350016,247.694305419922,192.060262704394,0.163799449801445,0.276127989431513,1.16209279117691,24.9892261696738,0,0.163799450669686
2.18,141.720057301649,247.975540161133,192.389810251094,0.163208469748497,0.276441505758566,1.16276653611243,25.009594537051,0,0.163208472478872
2.19,141.834865965081,248.25537109375,192.717694873146,0.162620082497597,0.276753460014268,1.16343540290321,25.029855029295,0,0.162620082770487
